time_s,tau_control_x,tau_control_y,tau_control_z,tau_aero_x,tau_aero_y,tau_aero_z,tau_total_x,tau_total_y,tau_total_z
102,-0.000128804230754651,-0.000129545847480337,0.000129525969645495,-3.03322626341485e-07,3.15392138975275e-07,-3.11368960364413e-07,-0.000129107553380992,-0.000129230455341362,0.00012921460068513
103,-0.000130056042517853,-0.000130795680614474,0.000130778393013834,-3.0535192977454e-07,3.07151734431655e-07,-3.06551791932654e-07,-0.000130361394447628,-0.000130488528880043,0.000130471841221901
104,-0.000131240413974011,-0.000131977902034565,0.000131963193001289,-3.07247342502495e-07,2.98985381122989e-07,-3.01739360755713e-07,-0.000131547661316513,-0.000131678916653442,0.000131661453640534
105,-0.000132358806575969,-0.000133093976327897,0.000133081831657003,-3.09009817243483e-07,2.90898830733094e-07,-2.96935818862077e-07,-0.000132667816393212,-0.000132803077497164,0.000132784895838141
106,-0.000133412644515852,-0.00013414533086327,0.000134135733969912,-3.10640541980202e-07,2.82897489370493e-07,-2.92145166318225e-07,-0.000133723285057832,-0.0001338624333739,0.000133843588803594
107,-0.000134403319271474,-0.000135133360468878,0.000135126292421342,-3.12140926008369e-07,2.74986419587442e-07,-2.87371247924142e-07,-0.000134715460197482,-0.00013485837404929,0.000134838921173418
108,-0.000135332203911764,-0.000136059441679781,0.000136054881268538,-3.13512584641646e-07,2.67170352358981e-07,-2.82617756100981e-07,-0.000135645716496405,-0.000135792271327422,0.000135772263512437
109,-0.000136200653210301,-0.000136924932850319,0.000136922856657945,-3.14757324453311e-07,2.59453686192029e-07,-2.77888225377694e-07,-0.000136515410534755,-0.000136665479164127,0.000136644968432567
110,-0.000137010003645317,-0.00013773117415411,0.000137731556625211,-3.15877134066455e-07,2.51840492364488e-07,-2.73186032813829e-07,-0.000137325880779383,-0.000137479333661746,0.000137458370592397
111,-0.000137761573399689,-0.00013847948758405,0.000138482301095183,-3.16874169156214e-07,2.44334516496236e-07,-2.68514394047601e-07,-0.000138078447568845,-0.000138235153067554,0.000138213786701135
112,-0.000138456662360947,-0.000139171176952313,0.000139176391881909,-3.1775074028643e-07,2.36939183750575e-07,-2.63876362709086e-07,-0.000138774413101234,-0.000138934237768563,0.0001389125155192
113,-0.00013909655212127,-0.000139807527890352,0.00013981511268864,-3.1850930024872e-07,2.29657604606321e-07,-2.59274830047961e-07,-0.000139415061421518,-0.000139577870285746,0.000139555837858592
114,-0.000139682505977484,-0.000140389807848897,0.000140399729107824,-3.19152431542155e-07,2.22492581601192e-07,-2.54712525255659e-07,-0.000140001658409027,-0.000140167315267296,0.000140145016582569
115,-0.00014021576893107,-0.000140919266097956,0.000140931488621115,-3.19682834650387e-07,2.15446617346311e-07,-2.50192016900751e-07,-0.00014053545176572,-0.00014070381948061,0.000140681296604214
116,-0.000140697567196459,-0.000141397133132928,0.000141411620045423,-3.20103313372294e-07,2.08521923583066e-07,-2.4571571407706e-07,-0.000141017670509831,-0.000141188611209345,0.000141165904331346
117,-0.000141129095986292,-0.000141824608370795,0.00014184132128923,-3.20416767855445e-07,2.01720422616744e-07,-2.41285865037245e-07,-0.000141449512754148,-0.000141622887948178,0.000141600035424193
118,-0.000141511527869545,-0.00014220286867966,0.000142221767791838,-3.20626180022435e-07,1.95043758949939e-07,-2.36904560090516e-07,-0.000141832154049567,-0.00014200782492071,0.000141984863231748
119,-0.00014184602122195,-0.000142533076759962,0.000142554120909868,-3.20734602145707e-07,1.88493319858334e-07,-2.32573741511427e-07,-0.000142166755824096,-0.000142344583440103,0.000142321547168356
120,-0.000142133720249041,-0.000142816381166867,0.000142839527939837,-3.20745146816068e-07,1.82070245585288e-07,-2.28295206992442e-07,-0.000142454465395857,-0.000142634310921281,0.000142611232732844
121,-0.000142375754986151,-0.000143053916310276,0.000143079122118168,-3.20660977368601e-07,1.7577543982276e-07,-2.24070613439853e-07,-0.00014269641596352,-0.000142878140870453,0.000142855051504728
