T,x,y,z,vx,vy,vz,omega0,omega1,omega2,omega3,wx,wy,wz
55,6607231.46455033,426450.445079331,-0.0464835653985397,-500.501197519339,7742.88843568114,-0.00168972801642459,0.5,-0.5,-0.5,0.5,0,0,0
56,6606726.41974014,434193.038474347,-0.048188632977784,-509.588307621326,7742.29657954188,-0.00172040675298118,0.5,-0.5,-0.5,0.5,0,0,0
57,6606212.28816767,441935.034688746,-0.0499243781192848,-518.67471999471,7741.6940745924,-0.00175108313394034,0.5,-0.5,-0.5,0.5,0,0,0
58,6605689.07053688,449676.42307415,-0.0516907984464497,-527.760422198006,7741.08092165017,-0.00178175711729868,0.5,-0.5,-0.5,0.5,0,0,0
59,6605156.76756414,457417.19298301,-0.053487891540687,-536.845401790687,7740.45712154715,-0.00181242866105605,0.5,-0.5,-0.5,0.5,0,0,0
60,6604615.3799783,465157.333768553,-0.0553156549413863,-545.929646332905,7739.82267512974,-0.00184309772321413,0.5,-0.5,-0.5,0.5,0,0,0
61,6604064.90852063,472896.834784849,-0.0571740861459371,-555.013143385765,7739.17758325881,-0.0018737642617778,0.5,-0.5,-0.5,0.5,0,0,0
62,6603505.35394484,480635.685386875,-0.0590631826097466,-564.095880511476,7738.52184680964,-0.00190442823475578,0.5,-0.5,-0.5,0.5,0,0,0
63,6602936.71701707,488373.874930513,-0.0609829417462401,-573.177845273348,7737.85546667198,-0.00193508960016068,0.5,-0.5,-0.5,0.5,0,0,0
64,6602358.9985159,496111.392772552,-0.0629333609268602,-582.259025235795,7737.17844375,-0.00196574831600896,0.5,-0.5,-0.5,0.5,0,0,0
65,6601772.19923235,503848.228270693,-0.0649144374810692,-591.339407964334,7736.4907789623,-0.00199640434032092,0.5,-0.5,-0.5,0.5,0,0,0
66,6601176.31996986,511584.370783552,-0.0669261686963482,-600.418981025434,7735.79247324194,-0.00202705763111989,0.5,-0.5,-0.5,0.5,0,0,0
